"HILDENBOROUGH HOLLANDEN HOUSE",,,,,,,,,,,,
Grid ref,TQ571492,Long,0.248211,Lat,51.220385,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.90,3.33,1.27,1.62,0.97,,
February,,,,,,0.77,1.84,1.24,0.98,0.38,,
March,,,,,,2.74,1.48,1.01,2.33,3.40,,
April,,,,,,2.39,1.04,2.56,2.29,1.56,,
May,,,,,,0.96,1.57,2.03,1.51,1.33,,
June,,,,,,3.66,2.15,1.86,1.95,2.42,,
July,,,,,,0.75,0.43,0.88,3.23,2.73,,
August,,,,,,1.97,0.94,2.09,4.16,2.70,,
September,,,,,,1.95,1.25,0.72,0.88,2.49,,
October,,,,,,1.54,4.41,4.22,1.95,4.44,,
November,,,,,,3.62,5.01,1.95,0.84,0.80,,
December,,,,,,0.32,1.98,2.22,2.69,3.33,,
Total,,,,,,21.57,25.43,22.05,24.43,26.55,,
Calc annual,0.00,0.00,0.00,0.00,0.00,21.57,25.43,22.05,24.43,26.55,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,-0.00,,
