"BEDFORD (CASTLE ROAD)",,,,,,,,,,,,
Grid ref,TL055498,Long,-0.459956,Lat,52.136436,,,,,,,
Station no,1179,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.81,0.84,0.68,,1.70,0.63,3.20,0.83,1.05,0.78,,
February,4.68,0.88,1.61,,2.86,0.65,1.28,0.75,0.97,0.25,,
March,0.80,2.56,1.88,,0.87,2.52,1.65,0.73,2.74,2.26,,
April,1.28,2.52,0.80,,0.85,1.62,0.55,1.69,2.72,1.89,,
May,1.32,0.71,2.28,,1.68,0.66,1.44,4.40,1.43,1.87,,
June,2.74,1.63,2.62,,0.50,3.54,3.10,1.13,0.89,3.62,,
July,0.83,2.39,1.73,,3.25,1.40,0.51,2.14,2.83,3.28,,
August,4.09,1.87,2.18,,1.73,2.61,1.14,1.98,2.69,2.21,,
September,0.36,2.11,1.28,,1.46,1.61,1.33,0.78,1.12,2.62,,
October,2.10,1.61,1.78,,0.92,0.87,3.13,3.41,1.71,3.94,,
November,2.13,1.00,1.80,,1.23,1.93,3.71,1.61,0.66,0.58,,
December,3.40,3.61,1.44,,1.70,0.76,2.05,3.30,1.38,2.97,,
Total,27.54,21.73,20.08,,18.75,18.80,23.09,22.75,20.19,26.27,,
Calc annual,27.54,21.73,20.08,0.00,18.75,18.80,23.09,22.75,20.19,26.27,,
Difference,0.00,0.00,-0.00,NaN,0.00,0.00,-0.00,-0.00,0.00,0.00,,
