"WEARDALE W.W. (TUNSTALL RES.)",,,,,,,,,,,,
Grid ref,NZ063407,Long,-1.903620,Lat,54.761199,,,,,,,
Station no,3540,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.58,2.64,1.21,3.82,2.86,0.83,3.97,0.84,1.99,2.26,,
February,7.58,1.65,1.38,3.60,2.85,1.38,1.35,1.62,2.66,2.11,,
March,1.70,3.52,1.55,3.10,2.09,2.72,1.62,1.94,5.07,5.91,,
April,1.30,1.97,2.06,1.75,2.20,3.42,1.40,1.72,4.09,2.67,,
May,1.39,1.59,2.88,3.11,3.04,0.86,4.84,3.71,2.15,1.89,,
June,3.65,1.79,2.15,2.01,1.95,1.67,0.70,3.99,0.56,3.47,,
July,1.42,1.53,4.49,5.32,2.03,0.70,0.61,1.77,2.46,2.63,,
August,6.89,2.37,2.21,3.19,3.02,3.96,3.48,1.74,2.00,2.90,,
September,0.81,1.68,1.14,2.80,0.67,2.79,0.93,0.34,2.71,2.35,,
October,6.59,2.27,2.62,9.55,1.14,2.52,5.04,6.18,2.68,2.96,,
November,4.51,5.92,2.60,1.75,2.51,5.62,4.03,2.88,1.89,0.78,,
December,3.02,4.12,3.72,2.80,2.21,1.17,2.85,4.43,0.87,4.09,,
Total,43.44,31.05,28.01,42.80,26.57,27.64,30.82,31.16,29.13,34.02,,
Calc annual,43.44,31.05,28.01,42.80,26.57,27.64,30.82,31.16,29.13,34.02,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
