"KINGSKERSWELL BARTON HALL",,,,,,,,,,,,
Grid ref,SX899671,Long,-3.553559,Lat,50.493328,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.09,3.62,4.49,1.32,5.02,1.34,,,,
February,,,1.48,2.13,5.62,0.98,3.22,1.16,,,,
March,,,2.04,3.93,2.12,5.01,0.97,0.51,,,,
April,,,1.76,1.66,0.79,2.86,1.21,4.15,,,,
May,,,1.44,2.15,2.36,0.37,1.32,3.33,,,,
June,,,3.26,1.72,0.99,2.70,2.22,1.73,,,,
July,,,1.23,3.36,4.71,0.51,0.83,1.39,,,,
August,,,2.32,2.82,2.86,2.78,0.90,0.78,,,,
September,,,2.37,3.12,1.97,1.79,0.60,0.80,,,,
October,,,3.23,6.68,2.08,2.25,4.60,7.20,,,,
November,,,3.95,1.34,1.57,4.02,3.31,3.55,,,,
December,,,2.48,3.98,2.66,0.94,1.90,4.71,,,,
Total,,,26.65,36.51,32.22,25.53,26.10,30.65,,,,
Calc annual,0.00,0.00,26.65,36.51,32.22,25.53,26.10,30.65,0.00,0.00,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,,
