"SELKIRK, WHITMUIR HALL",,,,,,,,,,,,
Grid ref,NT504273,Long,-2.787453,Lat,55.536887,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.49,,
February,,,,,,,,,,1.77,,
March,,,,,,,,,,5.30,,
April,,,,,,,,,,3.35,,
May,,,,,,,,,,2.09,,
June,,,,,,,,,,1.89,,
July,,,,,,,,,,2.46,,
August,,,,,,,,,,2.10,,
September,,,,,,,,,2.22,2.10,,
October,,,,,,,,,2.04,4.67,,
November,,,,,,,,,1.45,0.80,,
December,,,,,,,,,1.08,3.83,,
Total,,,,,,,,,,32.85,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.79,32.85,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
