"BRUTON, KING'S SCHOOL",,,,,,,,,,,,
Grid ref,ST683347,Long,-2.454207,Lat,51.110711,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.95,3.16,1.46,3.15,3.54,1.02,6.02,0.98,1.68,1.62,,
February,4.61,0.97,1.22,2.13,4.57,0.95,3.42,1.85,1.92,0.92,,
March,2.28,3.92,2.39,4.23,1.97,3.90,2.26,0.96,3.73,4.66,,
April,3.17,3.13,2.08,3.24,1.57,2.62,1.17,4.91,2.54,2.51,,
May,2.78,1.75,2.37,3.21,3.02,0.30,4.31,2.30,2.37,1.50,,
June,3.69,1.09,4.52,3.29,1.32,2.78,2.14,2.54,0.42,3.31,,
July,1.64,2.66,1.81,3.90,5.73,1.28,1.56,2.07,2.04,3.75,,
August,3.29,2.89,3.55,4.47,3.48,5.49,2.55,2.74,3.14,2.60,,
September,0.90,2.51,1.24,3.18,2.25,1.90,1.53,0.80,2.55,3.59,,
October,3.12,2.34,2.59,7.19,2.82,1.76,5.71,6.40,1.93,6.67,,
November,4.06,0.88,3.63,2.48,2.66,4.20,4.12,3.54,1.59,1.05,,
December,6.91,6.67,2.16,3.25,3.31,1.33,2.54,5.19,3.24,4.60,,
Total,41.40,31.97,29.02,43.72,36.24,27.53,37.33,34.28,27.15,36.78,,
Calc annual,41.40,31.97,29.02,43.72,36.24,27.53,37.33,34.28,27.15,36.78,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
