"KINGSTOWN PEOPLES PARK",,,,,,,,,,,,
Grid ref,IO2484928254,Long,-6.128278,Lat,53.290111,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.46,1.48,2.62,2.22,1.64,3.75,0.46,,,,
February,,1.38,2.05,1.70,3.09,0.71,1.37,1.21,,,,
March,,1.28,1.57,3.42,1.70,2.75,1.50,1.34,,,,
April,,1.52,2.27,1.54,1.01,2.44,1.51,2.44,2.11,,,
May,,1.29,2.79,2.35,2.67,1.62,2.29,3.28,1.10,,,
June,,2.14,2.14,1.36,1.32,1.58,0.90,2.02,1.33,,,
July,,2.19,3.66,3.34,0.67,0.62,0.94,2.16,2.12,,,
August,,2.69,2.43,2.30,2.53,6.80,1.69,2.21,3.52,,,
September,,3.27,4.23,3.51,1.83,0.85,0.40,0.53,2.50,,,
October,2.79,2.64,2.32,3.17,0.19,0.71,3.34,5.36,2.31,,,
November,5.13,3.39,3.61,1.89,1.30,3.47,1.45,2.47,1.14,,,
December,1.75,2.35,1.59,2.08,1.48,1.61,1.70,2.29,2.43,,,
Total,,26.60,30.14,29.28,20.01,24.80,20.84,25.77,,,,
Calc annual,9.67,26.60,30.14,29.28,20.01,24.80,20.84,25.77,18.56,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
