"SPILSBY BOSTON ROAD ASHBY ROAD",,,,,,,,,,,,
Grid ref,TF401662,Long,0.094678,Lat,53.174473,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.66,1.08,1.03,1.70,1.72,0.65,2.52,0.95,1.06,0.82,,
February,4.76,1.86,1.39,0.38,2.78,0.73,2.32,1.62,1.41,0.55,,
March,0.57,1.88,1.49,2.88,1.52,1.78,1.91,1.51,1.59,2.98,,
April,1.07,1.35,1.57,1.81,0.71,1.54,0.54,1.51,2.79,1.58,,
May,1.42,1.10,3.31,2.64,1.69,1.07,1.55,2.54,2.06,0.95,,
June,2.31,2.10,3.48,1.15,1.05,1.57,1.23,2.41,1.46,3.65,,
July,0.97,1.72,1.70,2.75,3.32,0.85,0.50,1.39,3.72,4.16,,
August,4.58,1.97,3.92,4.92,3.22,2.64,2.28,1.79,3.39,3.49,,
September,0.80,1.67,0.99,4.06,2.50,1.85,0.87,0.66,1.47,1.13,,
October,2.45,3.03,2.55,6.12,0.91,2.17,4.65,5.25,0.88,3.20,,
November,2.42,1.92,1.65,2.28,1.29,2.02,3.18,1.59,0.96,0.75,,
December,4.62,5.75,1.38,1.25,2.03,0.48,1.98,2.57,1.34,4.52,,
Total,29.63,25.43,24.46,31.94,22.74,17.35,23.53,23.79,22.13,27.78,,
Calc annual,29.63,25.43,24.46,31.94,22.74,17.35,23.53,23.79,22.13,27.78,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
