"NELSON, COLDWELL RESERVOIR",,,,,,,,,,,,
Grid ref,SD901364,Long,-2.151874,Lat,53.823774,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.14,2.24,2.41,2.10,2.31,2.01,5.46,2.51,6.52,2.46,,
February,2.73,1.45,0.72,3.05,2.71,2.79,2.31,2.83,4.55,7.36,,
March,0.56,1.95,2.09,3.96,2.42,3.30,2.79,5.16,4.70,2.97,,
April,2.76,1.98,1.98,2.55,2.00,2.60,1.10,2.34,4.94,5.10,,
May,1.42,0.92,3.12,2.36,2.28,0.43,4.13,4.99,3.53,3.35,,
June,2.61,1.14,1.14,2.21,0.94,2.72,1.61,8.83,3.20,3.90,,
July,4.05,1.95,1.24,3.70,2.60,3.74,2.12,3.95,7.80,9.39,,
August,3.77,1.84,2.13,4.13,4.60,3.37,4.95,7.12,4.90,4.67,,
September,1.38,0.82,1.07,4.14,0.90,2.30,1.94,1.53,5.97,3.98,,
October,4.28,2.64,3.56,9.97,1.22,2.72,5.43,4.64,2.59,4.63,,
November,2.95,6.18,2.44,2.35,2.65,3.52,4.37,2.90,5.33,2.57,,
December,3.03,3.70,2.40,1.25,2.50,0.93,4.07,5.44,3.08,6.54,,
Total,32.68,26.81,24.30,41.77,27.13,30.43,40.28,52.24,57.11,56.92,,
Calc annual,32.68,26.81,24.30,41.77,27.13,30.43,40.28,52.24,57.11,56.92,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
