"ALTRINCHAM NORMAN'S PLACE",,,,,,,,,,,,
Grid ref,SJ765877,Long,-2.354780,Lat,53.385615,,,,,,,
Station no,2738,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.39,2.15,2.07,2.75,2.67,1.85,4.62,1.31,2.12,1.59,,
February,3.37,1.45,1.13,2.45,3.71,1.73,3.34,1.90,2.78,1.20,,
March,0.90,1.77,1.65,3.75,1.66,3.46,2.87,2.98,2.32,3.04,,
April,1.92,2.17,2.55,2.12,2.07,2.48,1.31,1.40,1.99,2.50,,
May,2.05,0.67,3.74,3.23,2.34,0.80,3.10,3.71,2.00,1.37,,
June,3.62,1.92,1.81,1.74,0.77,2.73,1.39,5.12,2.12,2.13,,
July,2.12,4.57,1.97,2.78,1.80,1.82,1.93,3.44,4.44,4.78,,
August,5.83,2.19,3.53,4.02,4.65,4.30,3.89,3.81,3.55,3.50,,
September,1.08,0.82,1.18,5.07,1.69,2.23,2.61,0.71,3.04,2.24,,
October,5.21,3.02,4.18,7.07,1.36,3.96,6.61,3.82,1.78,6.33,,
November,1.41,3.85,1.81,4.14,2.49,4.16,1.71,2.72,3.14,2.85,,
December,4.38,4.11,2.40,1.30,2.77,0.53,3.76,2.63,2.68,5.67,,
Total,36.28,28.69,28.02,40.42,27.98,30.05,37.14,33.55,31.96,37.20,,
Calc annual,36.28,28.69,28.02,40.42,27.98,30.05,37.14,33.55,31.96,37.20,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,,
