"ARDCLACH GLENFERNESS",,,,,,,,,,,,
Grid ref,NH936428,Long,-3.775302,Lat,57.462959,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.55,3.01,1.61,4.70,1.55,2.05,2.45,1.30,2.31,2.93,,
February,2.59,3.47,1.58,4.99,1.99,3.37,2.54,1.87,3.57,2.41,,
March,3.34,2.62,1.99,3.35,0.95,4.81,4.06,2.82,5.03,4.28,,
April,2.21,2.85,0.97,1.90,3.00,2.69,2.22,2.37,2.98,3.15,,
May,1.55,1.04,3.86,2.43,2.99,2.27,5.44,3.33,1.60,2.62,,
June,1.66,3.85,4.32,2.13,1.22,0.34,2.62,4.91,1.54,0.90,,
July,4.45,2.90,4.70,5.33,0.71,2.14,2.16,3.88,3.08,3.95,,
August,5.12,3.45,3.70,3.91,4.87,3.24,3.51,3.21,1.15,2.78,,
September,2.54,1.21,1.19,2.84,1.76,2.26,1.97,1.42,7.94,2.49,,
October,3.68,3.06,2.35,4.17,1.25,4.96,6.33,3.86,0.38,4.74,,
November,4.04,3.33,1.00,3.99,2.45,5.28,6.02,1.83,2.69,2.77,,
December,4.31,5.32,4.32,1.14,2.68,1.86,3.96,1.73,1.35,2.17,,
Total,40.04,36.11,31.59,40.88,25.42,35.27,43.28,32.53,33.62,35.19,,
Calc annual,40.04,36.11,31.59,40.88,25.42,35.27,43.28,32.53,33.62,35.19,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
