"DEVIZES WILTS CO ASYLUM",,,,,,,,,,,,
Grid ref,SU009599,Long,-1.988466,Lat,51.338189,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.07,1.22,1.06,3.04,3.12,0.52,4.10,0.72,1.50,0.81,,
February,4.58,1.02,0.84,1.92,3.12,0.60,2.30,1.10,0.93,0.49,,
March,1.54,2.07,1.68,3.58,1.35,4.07,1.36,0.78,3.23,3.42,,
April,1.89,2.34,1.49,3.02,1.50,2.54,1.17,3.93,2.76,1.55,,
May,2.35,1.48,2.51,4.23,2.85,0.45,1.91,2.09,1.41,1.12,,
June,2.28,1.34,3.15,4.14,1.21,3.62,2.70,2.29,0.87,2.81,,
July,1.98,2.43,1.17,2.90,2.97,0.94,1.02,2.37,1.87,2.64,,
August,2.75,1.89,3.25,3.35,2.60,5.38,1.30,2.32,3.29,2.61,,
September,1.05,1.98,1.39,2.21,1.72,1.38,1.05,0.58,1.60,2.77,,
October,2.99,1.60,1.74,6.97,1.09,1.62,5.71,6.24,1.32,4.14,,
November,3.16,0.85,2.34,1.93,1.54,3.58,3.19,2.15,1.00,0.53,,
December,4.36,4.81,1.71,2.54,2.29,1.05,1.57,3.88,2.31,3.40,,
Total,32.00,23.03,22.33,39.83,25.36,25.75,27.38,28.45,22.09,26.29,,
Calc annual,32.00,23.03,22.33,39.83,25.36,25.75,27.38,28.45,22.09,26.29,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
