"ST PETERS",,,,,,,,,,,,
Grid ref,TR383683,Long,1.421850,Lat,51.363742,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.91,0.36,0.45,2.50,2.91,0.81,2.58,0.89,2.07,0.72,,
February,4.16,1.01,1.03,1.47,1.75,0.82,1.71,1.38,1.52,1.45,,
March,0.99,1.70,0.99,1.93,1.46,1.95,1.65,0.81,2.14,3.01,,
April,0.61,1.11,0.51,2.57,0.91,2.72,0.51,2.48,1.63,1.53,,
May,0.78,1.34,1.60,2.25,2.28,1.05,2.63,2.19,1.67,1.05,,
June,2.86,0.87,2.16,3.97,0.66,3.97,1.62,1.29,1.40,2.58,,
July,1.18,1.45,1.07,3.94,1.37,1.01,0.77,1.92,3.51,3.58,,
August,1.97,1.49,4.30,3.09,1.52,1.47,0.59,1.53,2.59,2.84,,
September,0.50,0.91,0.62,1.78,1.52,2.17,2.07,0.69,1.34,2.71,,
October,1.87,1.47,1.69,4.12,2.03,1.83,1.88,5.24,1.32,7.94,,
November,2.28,0.97,1.99,3.35,1.44,2.39,4.58,2.16,1.49,0.51,,
December,2.00,3.09,2.03,1.40,2.13,0.39,1.87,2.00,3.00,4.03,,
Total,22.11,15.77,18.44,32.37,19.98,20.58,22.46,22.58,23.68,31.95,,
Calc annual,22.11,15.77,18.44,32.37,19.98,20.58,22.46,22.58,23.68,31.95,,
Difference,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
