"FORT WILLIAM ATHOLL BANK",,,,,,,,,,,,
Grid ref,NN103738,Long,-5.109635,Lat,56.816887,,,,,,,
Station no,5751,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,16.19,7.70,11.02,12.25,,
February,,,,,,,5.45,9.16,7.95,3.70,,
March,,,,,,,7.81,8.16,7.83,0.30,,
April,,,,,,,4.20,3.77,2.44,3.97,,
May,,,,,,,4.65,5.23,4.31,4.57,,
June,,,,,,,1.26,6.21,4.79,0.86,,
July,,,,,,,8.08,2.25,3.90,6.16,,
August,,,,,,,5.93,10.59,6.70,5.03,,
September,,,,,,,5.46,3.26,8.30,2.88,,
October,,,,,6.00,5.24,8.87,3.55,2.17,12.32,,
November,,,,,6.00,6.15,7.29,6.32,6.44,6.92,,
December,,,,,8.00,8.41,8.69,8.97,10.47,7.92,,
Total,-999.00,64.10,,106.46,79.97,79.39,83.88,75.17,76.32,66.88,,
Calc annual,0.00,0.00,0.00,0.00,20.00,19.80,83.88,75.17,76.32,66.88,,
Difference,-999.00,64.10,NaN,106.46,59.97,59.59,0.00,0.00,0.00,0.00,,
