"BEINN A'CHAORAINN NO 8",,,,,,,,,,,,
Grid ref,NJ045013,Long,-3.577661,Lat,57.092742,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,6.00,,,,,,,,,
February,,,2.70,,,,,,,,,
March,,,4.05,,,,,,,,,
April,,,3.90,,,,,,,,,
May,,,5.90,,,,,,,,,
June,,,5.40,,,,,,,,,
July,,,5.80,,,,,,,,,
August,,,3.60,,,,,,,,,
September,,,4.50,,,,,,,,,
October,,,6.30,,,,,,,,,
November,,,6.60,,,,,,,,,
December,,,8.25,,,,,,,,,
Total,,,63.00,,,,,,,,,
Calc annual,0.00,0.00,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
