"DENSHAW OX HEY",,,,,,,,,,,,
Grid ref,SD986104,Long,-2.022623,Lat,53.590178,,,,,,,
Station no,3104,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.91,3.22,3.27,4.48,4.26,2.05,5.40,1.73,3.83,2.57,,
February,4.10,1.99,1.23,4.56,3.75,1.73,3.58,2.37,3.17,2.22,,
March,1.09,3.40,2.19,5.60,2.47,4.24,3.73,3.30,3.12,3.38,,
April,2.97,2.96,2.07,2.22,3.17,3.15,1.71,2.85,2.47,4.26,,
May,1.51,1.89,2.99,3.82,4.07,0.69,4.08,4.38,2.61,2.32,,
June,6.41,2.11,1.32,1.89,1.12,2.95,1.60,8.19,2.24,2.46,,
July,3.40,3.30,2.86,4.33,1.53,2.43,2.41,3.32,5.72,6.26,,
August,6.18,2.45,3.95,5.64,5.12,5.05,4.05,4.07,4.27,3.54,,
September,1.81,1.35,2.59,5.96,1.96,3.29,1.60,1.12,4.13,2.84,,
October,6.12,3.77,5.86,10.00,2.03,3.98,7.90,7.10,1.71,6.57,,
November,3.96,7.32,2.07,3.75,3.73,5.62,4.48,3.44,2.35,1.46,,
December,5.98,4.86,3.61,2.70,3.76,1.03,3.53,5.25,3.34,7.75,,
Total,49.44,38.62,34.01,54.95,36.97,36.21,44.07,47.12,38.96,45.63,,
Calc annual,49.44,38.62,34.01,54.95,36.97,36.21,44.07,47.12,38.96,45.63,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
