"WESTON PARK STEVENAGE",,,,,,,,,,,,
Grid ref,TL262293,Long,-0.165223,Lat,51.947888,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.03,0.68,0.57,2.44,2.33,1.34,3.36,1.00,1.39,0.94,,
February,3.19,1.27,1.09,0.92,2.76,1.07,1.91,1.47,1.24,0.49,,
March,0.82,2.18,1.07,3.06,1.56,2.75,1.74,0.74,2.71,3.28,,
April,1.25,2.58,0.71,1.52,0.98,1.87,1.02,3.28,2.99,1.57,,
May,1.19,1.37,2.35,2.60,1.63,1.28,1.28,2.99,1.35,1.42,,
June,2.81,1.01,2.61,5.68,0.92,3.10,3.89,2.05,0.95,4.34,,
July,0.94,2.55,2.46,4.99,3.22,1.37,0.78,1.99,2.97,3.20,,
August,3.38,1.59,3.84,3.53,3.09,5.41,1.02,1.97,3.12,2.32,,
September,0.62,1.14,1.30,2.37,1.08,2.10,1.55,0.55,1.94,1.95,,
October,2.11,1.49,1.54,5.56,1.39,1.60,3.99,3.22,1.44,4.62,,
November,2.42,1.22,1.51,2.47,1.44,2.68,4.46,2.39,0.92,1.05,,
December,2.65,3.16,1.37,1.84,2.06,0.99,2.35,3.38,1.82,2.97,,
Total,24.41,20.24,20.42,36.98,22.46,25.56,27.35,25.03,22.84,28.15,,
Calc annual,24.41,20.24,20.42,36.98,22.46,25.56,27.35,25.03,22.84,28.15,,
Difference,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
