"TULLOW, HARDYMOUNT",,,,,,,,,,,,
Grid ref,IS8360072800,Long,-6.761089,Lat,52.799993,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.83,1.21,,
February,,,,,,,,,1.30,0.43,,
March,,,,,,,,,3.62,3.39,,
April,,,,,,,,,2.01,5.31,,
May,,,,,,,,,1.59,1.70,,
June,,,,,,,,,1.15,2.45,,
July,,,,,,,,,2.68,2.73,,
August,,,,,,,,,3.34,1.27,,
September,,,,,,,,,4.54,2.19,,
October,,,,,,,,,2.08,4.75,,
November,,,,,,,,,2.03,1.26,,
December,,,,,,,,,3.29,3.94,,
Total,,,,,,,,,29.46,30.63,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.46,30.63,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
