"FARNBOROUGH RECTORY",,,,,,,,,,,,
Grid ref,SU435820,Long,-1.374239,Lat,51.535235,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.97,1.45,0.97,3.73,4.45,0.55,4.98,0.97,1.76,1.00,,
February,4.15,1.24,1.48,1.59,4.30,0.70,2.37,1.74,1.27,0.77,,
March,0.98,2.02,1.90,4.42,1.60,4.37,1.65,1.38,3.29,3.88,,
April,1.11,2.68,1.91,3.00,1.26,2.56,0.69,3.34,5.22,2.00,,
May,1.65,1.44,2.75,3.74,3.24,0.77,1.98,2.65,2.37,1.73,,
June,3.58,1.55,3.21,7.32,1.27,4.99,3.00,3.11,1.24,4.33,,
July,0.82,2.60,1.46,3.25,2.63,1.48,0.61,2.42,2.98,2.27,,
August,3.02,2.07,2.69,4.64,3.00,3.30,1.22,1.76,4.29,3.67,,
September,0.55,2.40,1.89,2.29,1.93,1.80,0.90,0.89,2.53,3.31,,
October,2.30,1.30,1.99,9.22,1.36,2.06,5.13,6.70,1.45,4.84,,
November,3.13,0.65,4.61,2.10,1.99,3.89,5.93,2.72,1.53,0.96,,
December,4.48,4.89,2.19,2.12,2.82,1.21,2.91,5.40,2.93,4.73,,
Total,28.74,24.29,27.05,47.42,29.85,27.68,31.37,33.08,30.86,33.49,,
Calc annual,28.74,24.29,27.05,47.42,29.85,27.68,31.37,33.08,30.86,33.49,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
