"RYTON-ON-TYNE BALGONIE HOUSE",,,,,,,,,,,,
Grid ref,NZ152644,Long,-1.764075,Lat,54.973985,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.79,0.95,0.86,2.04,1.23,0.34,2.26,0.30,1.50,0.75,,
February,4.99,1.21,1.29,1.30,2.20,0.56,0.67,0.70,0.60,1.66,,
March,1.03,1.84,1.06,1.18,1.25,1.21,1.24,1.07,4.33,4.67,,
April,1.03,1.15,1.12,1.04,0.94,2.44,0.93,2.52,2.57,2.11,,
May,1.48,1.91,2.11,3.33,2.07,0.79,4.27,2.80,2.33,1.87,,
June,4.02,1.26,1.54,3.44,1.86,1.21,1.78,3.38,0.22,2.00,,
July,2.22,3.00,2.78,3.76,1.89,2.18,1.75,1.56,3.11,1.47,,
August,5.35,2.30,1.65,2.36,3.15,2.61,3.04,2.04,1.78,2.96,,
September,0.89,0.89,0.97,2.21,1.00,1.52,0.52,0.66,2.31,1.70,,
October,6.04,1.94,2.11,7.01,0.80,2.32,3.74,5.65,1.54,1.90,,
November,3.39,4.88,1.59,1.59,2.50,4.08,3.06,2.02,1.15,0.49,,
December,1.94,2.04,3.05,2.33,1.65,0.48,2.03,3.24,0.80,3.94,,
Total,35.17,23.37,20.13,31.59,20.54,19.74,25.29,25.94,22.24,25.52,,
Calc annual,35.17,23.37,20.13,31.59,20.54,19.74,25.29,25.94,22.24,25.52,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
