"STRATHFIELDSAYE RECTORY",,,,,,,,,,,,
Grid ref,SU694613,Long,-1.004931,Lat,51.346554,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.79,0.61,4.19,0.82,1.51,1.02,,
February,,,,,2.88,0.53,1.99,1.45,1.33,0.46,,
March,,,,,1.18,4.26,1.76,1.10,3.12,3.53,,
April,,,,,1.26,1.78,0.63,3.92,4.51,1.73,,
May,,,,,3.26,1.77,1.97,1.66,1.71,1.70,,
June,,,,,0.90,4.70,2.82,2.39,0.91,4.62,,
July,,,,,1.76,0.61,0.49,1.48,1.89,2.31,,
August,,,,,2.29,3.06,0.88,2.12,3.45,1.98,,
September,,,,,1.35,2.09,1.27,0.81,1.87,2.99,,
October,,,,,1.71,1.59,5.24,5.69,1.84,4.67,,
November,,,,,1.76,2.98,3.80,2.55,0.83,0.79,,
December,,,,,2.38,0.84,1.99,4.02,2.45,3.05,,
Total,,,,,23.52,24.82,27.03,28.01,25.42,28.85,,
Calc annual,0.00,0.00,0.00,0.00,23.52,24.82,27.03,28.01,25.42,28.85,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,,
