"MASHAM MOOR BENGY GUIDE",,,,,,,,,,,,
Grid ref,SE119754,Long,-1.819198,Lat,54.174254,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.96,3.31,1.90,7.23,3.52,,5.12,0.96,3.18,1.83,,
February,3.60,3.09,2.11,6.08,5.96,,2.37,2.78,3.53,1.65,,
March,2.90,3.10,2.21,11.06,3.88,3.40,4.10,3.67,3.90,4.51,,
April,2.86,4.31,2.20,1.73,4.50,1.86,0.29,2.11,1.44,3.21,,
May,2.10,0.77,2.23,5.83,4.34,2.09,4.92,3.88,4.19,2.89,,
June,3.40,2.69,2.09,2.69,2.26,1.70,1.79,6.97,2.55,2.97,,
July,1.80,3.35,2.72,3.79,1.77,0.54,0.46,2.05,4.21,3.38,,
August,6.40,2.16,2.68,7.48,3.27,3.46,3.24,2.70,1.04,4.70,,
September,1.60,2.17,2.33,5.82,1.89,2.70,0.22,0.73,5.44,1.81,,
October,5.20,2.55,5.11,9.46,2.62,2.47,3.72,6.04,1.60,6.34,,
November,4.60,4.35,2.50,1.93,7.02,6.31,4.48,3.82,4.54,1.01,,
December,7.10,4.55,8.50,4.68,2.71,4.39,3.42,6.82,2.18,4.12,,
Total,46.52,36.40,36.58,67.78,43.74,,34.13,42.53,37.80,38.42,,
Calc annual,46.52,36.40,36.58,67.78,43.74,28.92,34.13,42.53,37.80,38.42,,
Difference,-0.00,0.00,0.00,0.00,0.00,NaN,0.00,0.00,-0.00,0.00,,
