"BASINGSTOKE CHAPEL HILL, KINGSCLERE ROAD",,,,,,,,,,,,
Grid ref,SU633527,Long,-1.094027,Lat,51.269945,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.83,1.41,0.79,2.52,4.07,0.77,5.08,,,,,
February,5.72,2.50,1.07,1.05,3.53,0.60,2.23,,,,,
March,1.07,1.95,1.74,3.28,1.48,4.87,1.53,,,,,
April,1.17,1.91,0.97,1.82,1.30,1.70,0.56,,,,,
May,1.46,0.90,2.48,2.48,3.33,0.81,1.16,,,,,
June,2.81,1.46,3.43,4.59,0.75,4.20,2.79,,,,,
July,0.65,2.78,0.90,2.85,2.08,0.42,0.44,,,,,
August,2.45,1.85,3.19,3.55,2.36,2.91,0.87,,,,,
September,0.85,1.58,0.92,1.97,1.20,2.32,1.32,,,,,
October,2.30,2.29,1.63,8.81,1.86,2.44,6.23,,,,,
November,2.20,0.44,2.70,1.58,1.57,3.50,4.81,,,,,
December,3.65,4.45,1.52,3.31,2.69,0.64,1.72,,,,,
Total,27.16,23.52,21.34,37.81,26.22,25.18,28.74,,,,,
Calc annual,27.16,23.52,21.34,37.81,26.22,25.18,28.74,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,,
