"HENLEY-ON-THAMES GREYS",,,,,,,,,,,,
Grid ref,SU723834,Long,-0.958792,Lat,51.544873,,,,,,,
Station no,1077,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.23,1.09,0.87,2.91,3.28,0.50,4.43,0.72,1.84,1.02,,
February,3.88,1.59,1.53,0.62,3.44,0.55,2.09,1.40,1.25,0.48,,
March,0.72,1.67,1.90,3.22,1.29,4.30,1.52,1.05,3.62,3.49,,
April,1.19,2.81,1.07,2.51,1.31,2.02,0.69,2.75,4.25,2.23,,
May,0.85,0.95,2.33,3.97,3.18,1.41,4.31,2.06,2.05,1.66,,
June,2.49,1.84,2.87,6.04,1.07,4.53,2.11,2.00,1.07,4.66,,
July,0.54,2.68,1.03,3.79,1.75,1.17,0.28,1.81,2.13,3.01,,
August,4.21,2.10,3.15,3.39,2.17,2.68,1.10,2.07,3.10,2.45,,
September,0.57,1.84,1.27,1.95,1.62,1.47,0.93,0.84,1.94,3.44,,
October,2.28,1.75,2.13,8.04,1.67,1.20,5.47,4.84,1.50,5.20,,
November,2.20,0.60,2.60,2.33,1.83,3.62,3.28,2.53,1.22,0.52,,
December,3.65,4.53,1.33,2.12,2.91,1.28,2.85,4.08,2.91,3.35,,
Total,25.81,23.45,22.08,40.89,25.52,24.73,29.06,26.15,26.88,31.51,,
Calc annual,25.81,23.45,22.08,40.89,25.52,24.73,29.06,26.15,26.88,31.51,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
