"LUDGERSHALL COLLINGBOURNE KINGSTON",,,,,,,,,,,,
Grid ref,SU238559,Long,-1.659997,Lat,51.301729,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.55,1.45,0.89,2.86,4.57,0.56,4.88,0.47,1.44,0.63,,
February,4.49,1.36,1.36,1.28,3.74,0.60,2.50,1.53,1.28,0.53,,
March,1.21,2.03,1.91,3.99,1.33,4.62,1.22,0.80,2.93,3.27,,
April,1.98,2.28,1.60,3.02,1.21,2.38,0.96,3.79,3.11,1.52,,
May,1.70,1.23,2.47,4.28,3.16,0.69,1.99,2.10,2.09,1.23,,
June,2.43,1.57,4.10,5.00,0.98,3.61,2.68,2.33,0.53,2.46,,
July,1.29,4.93,0.84,3.10,2.61,1.23,0.57,2.01,1.97,2.65,,
August,2.61,2.74,4.01,3.98,2.99,3.71,1.00,2.32,3.50,3.92,,
September,0.58,2.72,0.81,2.07,1.81,1.24,0.88,0.71,2.28,3.16,,
October,2.60,1.38,1.85,9.02,1.43,1.70,6.04,6.89,1.22,4.73,,
November,3.59,0.50,3.57,1.94,1.72,3.89,4.53,2.82,1.13,0.54,,
December,4.51,5.67,1.67,2.76,2.84,1.09,1.89,3.66,2.57,3.66,,
Total,30.54,27.86,25.08,43.30,28.39,25.32,29.14,29.43,24.05,28.30,,
Calc annual,30.54,27.86,25.08,43.30,28.39,25.32,29.14,29.43,24.05,28.30,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
