"GREAT MAPLESTEAD MONK'S LODGE",,,,,,,,,,,,
Grid ref,TL808351,Long,0.631479,Lat,51.984931,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.81,0.52,0.68,1.81,1.99,1.02,3.34,1.52,0.56,0.86,,
February,3.10,0.72,0.92,0.48,2.89,1.34,2.33,1.04,1.59,0.65,,
March,1.30,2.36,0.92,2.06,1.79,2.35,2.72,0.86,2.12,2.72,,
April,1.10,2.15,0.81,2.50,0.59,1.79,0.90,3.25,2.85,2.10,,
May,0.90,1.22,1.99,3.78,1.19,1.03,1.19,1.98,1.08,0.99,,
June,2.56,2.55,3.14,4.41,1.54,3.09,1.87,1.41,0.79,4.62,,
July,1.37,1.09,1.39,4.05,1.99,0.71,1.59,2.49,3.21,3.53,,
August,2.80,1.18,4.04,3.30,1.64,2.03,0.91,2.13,2.30,2.31,,
September,0.41,1.31,1.02,2.56,0.93,1.37,1.17,0.61,0.70,1.95,,
October,1.78,2.35,1.47,4.50,0.94,1.13,4.27,2.77,1.63,3.55,,
November,2.06,0.79,1.59,2.09,1.25,2.52,3.91,2.41,1.37,0.67,,
December,2.61,3.30,1.33,1.41,1.56,0.85,1.81,3.28,1.73,3.31,,
Total,22.80,19.54,19.30,32.95,18.30,19.23,26.01,23.75,19.93,27.26,,
Calc annual,22.80,19.54,19.30,32.95,18.30,19.23,26.01,23.75,19.93,27.26,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
