"STEWARTSTOWN CURGLASSON",,,,,,,,,,,,
Grid ref,IH8660073700,Long,-6.660495,Lat,54.604250,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.13,,,
February,,,,,,,,,2.35,,,
March,,,,,,,,,3.82,,,
April,,,,,,,,,2.95,,,
May,,,,,,,,4.03,2.83,,,
June,,,,,,,,4.71,2.15,,,
July,,,,,,,,2.64,4.65,,,
August,,,,,,,,3.14,,,,
September,,,,,,,,0.80,,,,
October,,,,,,,,3.87,,,,
November,,,,,,,,2.94,,,,
December,,,,,,,,3.47,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.60,20.88,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
