"PRESTON 45 PRESTON DRIVE",,,,,,,,,,,,
Grid ref,TQ305065,Long,-0.147814,Lat,50.843317,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.53,1.02,,
February,,,,,,,,,1.02,0.29,,
March,,,,,,,,,1.77,3.41,,
April,,,,,,,,,1.97,1.04,,
May,,,,,,,,,1.69,1.16,,
June,,,,,,,,,1.22,2.21,,
July,,,,,,,,,2.77,2.77,,
August,,,,,,,,,2.83,3.19,,
September,,,,,,,,,1.59,3.58,,
October,,,,,,,,4.64,1.40,8.19,,
November,,,,,,,,1.72,1.01,1.15,,
December,,,,,,,,2.23,3.15,3.83,,
Total,,,,,,,,,21.95,31.84,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.59,21.95,31.84,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
