"CRAIGTON HILLHEAD",,,,,,,,,,,,
Grid ref,NO508392,Long,-2.801698,Lat,56.542211,,,,,,,
Station no,RR179,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.27,1.40,0.92,4.85,2.09,0.44,2.16,1.37,2.42,2.34,,
February,3.88,1.68,1.85,2.77,4.65,1.00,1.02,1.17,0.59,0.96,,
March,1.91,1.87,1.12,2.85,2.21,3.73,1.09,1.80,4.02,5.62,,
April,1.58,2.39,2.33,1.26,1.73,2.54,1.20,2.52,0.77,3.89,,
May,1.98,2.29,2.62,1.68,2.77,1.57,5.86,5.62,2.07,2.69,,
June,2.01,2.00,1.62,2.28,0.82,0.99,1.19,4.87,1.27,1.52,,
July,4.68,1.03,3.09,5.25,1.27,1.50,1.74,2.28,2.42,3.60,,
August,5.12,4.75,3.10,4.40,5.79,4.79,4.74,3.73,2.08,2.05,,
September,3.12,1.59,1.71,3.14,3.33,1.74,1.25,1.31,6.53,1.39,,
October,3.27,2.33,1.57,6.15,1.09,2.25,4.31,5.39,3.98,3.99,,
November,5.45,1.82,3.80,1.16,1.01,5.45,4.72,1.85,2.04,0.36,,
December,4.09,3.11,2.96,2.96,1.96,1.38,1.71,3.52,3.31,3.31,,
Total,42.36,26.26,26.69,38.75,28.72,27.38,30.99,35.43,31.50,31.72,,
Calc annual,42.36,26.26,26.69,38.75,28.72,27.38,30.99,35.43,31.50,31.72,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
