"MARPLE TOP LOCK",,,,,,,,,,,,
Grid ref,SJ961884,Long,-2.060109,Lat,53.392420,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.25,1.99,2.56,2.46,3.20,1.85,3.67,1.28,2.31,1.64,,
February,3.14,1.38,1.24,2.56,3.05,1.72,3.20,2.15,3.12,2.27,,
March,1.04,2.45,1.95,3.98,1.84,3.51,2.59,2.72,2.89,3.06,,
April,2.33,2.05,1.83,1.74,1.83,2.33,2.19,1.25,1.93,2.08,,
May,1.62,0.66,3.39,2.63,3.35,0.87,2.80,3.49,2.38,1.63,,
June,4.39,1.38,0.79,1.05,1.03,2.44,1.34,4.42,2.21,2.45,,
July,2.73,2.65,1.75,2.85,1.09,2.02,2.03,3.38,4.53,4.50,,
August,4.36,1.78,3.53,3.42,4.44,3.85,2.96,3.84,3.55,3.12,,
September,1.16,0.77,0.97,4.44,1.13,2.20,1.68,0.55,3.23,2.21,,
October,3.29,2.90,4.12,7.24,1.24,2.78,5.27,3.40,0.85,4.98,,
November,2.07,4.17,1.26,2.98,2.62,2.77,2.46,2.32,2.82,1.29,,
December,3.42,5.26,2.69,1.42,2.03,0.49,3.24,2.32,2.74,6.40,,
Total,33.80,27.44,26.08,36.77,26.85,26.83,33.43,31.12,32.56,35.63,,
Calc annual,33.80,27.44,26.08,36.77,26.85,26.83,33.43,31.12,32.56,35.63,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
