"BLUNDELLSANDS PARK CORNER",,,,,,,,,,,,
Grid ref,SJ307997,Long,-3.045931,Lat,53.489427,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.20,2.19,1.61,2.12,2.19,1.16,4.31,1.02,1.91,1.90,,
February,2.97,1.43,1.81,2.05,4.25,1.09,2.15,1.38,2.47,0.85,,
March,1.07,1.38,1.75,3.30,1.60,2.87,2.13,1.90,2.68,2.41,,
April,1.13,1.28,1.49,1.72,1.12,1.96,0.79,0.95,2.65,2.53,,
May,1.75,0.93,3.23,2.59,1.85,0.28,2.52,2.82,2.48,1.03,,
June,2.52,1.49,1.85,2.19,1.20,1.54,1.53,4.98,2.04,2.87,,
July,0.79,1.43,2.05,1.96,0.96,1.94,0.96,2.14,3.70,4.26,,
August,6.90,2.56,1.79,3.71,2.95,2.71,2.97,2.99,3.22,2.96,,
September,0.80,0.94,0.72,4.41,2.66,1.45,1.38,0.59,3.18,2.52,,
October,3.29,2.87,2.85,6.88,1.96,2.76,4.90,3.99,1.96,3.99,,
November,3.69,3.35,1.62,2.90,1.70,3.91,1.94,2.68,2.50,1.26,,
December,3.01,3.31,2.05,1.58,2.85,0.38,2.89,2.47,2.04,5.81,,
Total,32.12,23.16,22.82,35.41,25.29,22.05,28.47,27.91,30.83,32.39,,
Calc annual,32.12,23.16,22.82,35.41,25.29,22.05,28.47,27.91,30.83,32.39,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
