"CHELSEA WESTERN PUMPING STATION",,,,,,,,,,,,
Grid ref,TQ286780,Long,-0.149242,Lat,51.486337,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.64,0.68,0.60,2.20,2.16,1.19,3.43,0.71,1.65,0.72,,
February,3.93,0.84,0.91,0.81,2.35,0.64,1.60,1.13,1.53,0.47,,
March,0.86,2.04,1.44,2.11,1.67,3.55,1.02,0.97,2.38,2.79,,
April,0.85,1.75,0.43,1.98,1.13,1.56,0.65,3.18,2.31,1.84,,
May,0.92,0.54,2.63,3.41,2.04,0.80,1.16,1.79,1.78,1.49,,
June,2.37,1.77,3.28,5.76,0.78,4.79,2.73,2.49,1.55,2.96,,
July,1.00,3.79,1.28,4.44,1.80,0.75,0.70,1.09,3.17,3.43,,
August,1.96,1.82,2.96,4.77,1.46,3.14,0.94,1.80,2.57,1.41,,
September,0.89,1.62,1.12,2.42,1.02,1.61,1.53,0.61,1.24,2.08,,
October,1.56,2.28,1.45,5.42,1.52,1.11,3.10,2.73,2.15,3.74,,
November,1.71,0.61,1.76,1.91,1.73,3.18,3.74,1.99,0.58,0.65,,
December,2.42,2.96,1.50,1.30,2.02,0.73,2.00,3.10,1.93,2.22,,
Total,21.11,20.70,19.36,36.53,19.68,23.05,22.60,21.59,22.84,23.80,,
Calc annual,21.11,20.70,19.36,36.53,19.68,23.05,22.60,21.59,22.84,23.80,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
