"WHITBY PARK HALL AISLABY",,,,,,,,,,,,
Grid ref,NZ861087,Long,-0.673108,Lat,54.466381,,,,,,,
Station no,3475,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.90,0.61,2.32,0.89,1.44,1.09,,
February,,,,,4.14,1.50,2.72,1.33,2.34,1.29,,
March,,,,,2.41,1.82,1.91,0.93,3.46,5.66,,
April,,,,,1.10,2.67,0.97,2.20,2.76,2.69,,
May,,,,,2.65,1.25,4.02,4.17,2.12,1.74,,
June,,,,,1.22,1.58,0.83,2.16,1.10,3.45,,
July,,,,3.60,1.85,0.88,3.09,1.41,2.02,3.42,,
August,,,,1.61,2.94,2.55,2.71,2.36,2.82,6.07,,
September,,,,3.16,1.26,2.51,0.73,0.57,2.31,2.26,,
October,,,,6.95,0.53,4.87,4.66,6.25,1.36,2.60,,
November,,,,3.09,2.37,5.71,3.05,2.98,1.61,1.19,,
December,,,,1.67,2.45,0.71,2.79,4.50,3.29,4.22,,
Total,,,,,25.82,26.66,29.80,29.75,26.63,35.68,,
Calc annual,0.00,0.00,0.00,20.08,25.82,26.66,29.80,29.75,26.63,35.68,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,,
