"BALBRIGGAN ARDGILLAN NO 1",,,,,,,,,,,,
Grid ref,IO2186661180,Long,-6.160250,Lat,53.586528,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.13,3.59,1.93,3.56,2.45,1.49,3.07,0.59,1.85,1.13,,
February,3.24,0.95,2.44,2.21,4.04,0.64,1.34,2.02,1.43,0.46,,
March,0.83,1.86,1.54,3.86,2.06,3.01,1.16,1.93,2.79,3.16,,
April,1.80,0.98,1.99,1.04,1.11,1.58,1.44,2.50,2.10,3.50,,
May,2.04,1.33,2.96,2.56,2.95,1.29,3.03,2.51,2.20,1.40,,
June,2.66,1.78,2.14,1.86,1.20,1.24,2.60,3.45,1.49,1.85,,
July,3.64,1.64,2.68,3.34,2.27,1.03,1.16,1.21,3.06,3.15,,
August,6.11,2.85,2.79,3.43,3.95,6.89,2.96,1.89,1.99,1.01,,
September,1.04,3.43,2.85,3.14,2.82,0.96,0.97,0.68,3.84,1.75,,
October,2.67,2.62,2.12,3.56,0.55,1.05,3.92,4.12,2.54,4.07,,
November,4.53,5.05,3.23,2.70,1.67,4.05,3.03,2.86,1.75,1.10,,
December,2.81,2.27,1.46,2.44,2.06,1.87,2.45,2.61,3.39,4.76,,
Total,34.50,28.35,28.13,33.70,27.13,25.10,27.13,26.37,28.43,27.34,,
Calc annual,34.50,28.35,28.13,33.70,27.13,25.10,27.13,26.37,28.43,27.34,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
