"GRANCHESTER MILL",,,,,,,,,,,,
Grid ref,TL435550,Long,0.097107,Lat,52.174603,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.57,0.49,0.43,1.91,1.37,1.07,2.68,1.06,0.82,0.79,,
February,3.22,0.56,1.09,0.52,2.52,1.21,1.82,1.17,1.01,0.23,,
March,0.58,2.03,0.85,2.10,1.23,1.87,1.63,0.89,1.71,2.94,,
April,0.74,2.43,0.86,1.57,0.58,1.54,0.72,2.72,2.55,1.33,,
May,1.25,0.74,4.01,3.98,1.67,1.07,1.09,2.81,1.33,1.44,,
June,2.13,2.08,2.18,4.06,0.99,3.54,4.07,1.75,1.54,3.10,,
July,1.11,2.19,1.09,4.40,2.88,1.35,0.75,1.75,3.24,2.79,,
August,2.47,2.09,3.13,3.18,1.88,2.81,0.73,2.02,2.28,1.67,,
September,0.42,1.60,0.66,2.08,1.58,2.01,0.69,0.66,1.33,1.70,,
October,1.80,2.33,1.49,4.41,1.21,1.32,3.20,2.23,1.20,3.64,,
November,1.99,1.40,1.40,2.36,1.30,1.81,3.66,2.46,0.83,0.58,,
December,2.14,2.31,1.40,1.18,1.74,0.77,1.92,2.90,1.54,2.70,,
Total,20.42,20.25,18.59,31.75,18.95,20.37,22.96,22.42,19.38,22.91,,
Calc annual,20.42,20.25,18.59,31.75,18.95,20.37,22.96,22.42,19.38,22.91,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
