"BASSET DOWN HOUSE",,,,,,,,,,,,
Grid ref,SU114800,Long,-1.837095,Lat,51.518807,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.62,,
February,,,,,,,,,,0.54,,
March,,,,,,,,,,3.85,,
April,,,,,,,,,3.72,1.60,,
May,,,,,,,,,1.72,1.43,,
June,,,,,,,,,0.65,3.34,,
July,,,,,,,,,2.83,2.30,,
August,,,,,,,,,4.01,2.62,,
September,,,,,,,,,1.79,2.99,,
October,,,,,,,,,1.22,5.03,,
November,,,,,,,,,1.27,0.90,,
December,,,,,,,,,2.32,3.67,,
Total,,,,,,,,,,28.89,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.53,28.89,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
