"TREHERBERT BUTE COLLIERY",,,,,,,,,,,,
Grid ref,SS933985,Long,-3.544498,Lat,51.675101,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.75,4.00,5.30,13.91,13.16,3.29,15.81,5.00,8.17,4.14,,
February,9.96,2.77,3.74,6.92,9.75,4.04,7.16,4.80,5.47,1.39,,
March,0.65,6.02,4.89,15.25,4.09,11.20,6.25,4.69,7.34,7.81,,
April,0.74,6.70,4.11,3.68,6.48,7.74,1.63,5.72,4.42,6.65,,
May,1.50,1.68,3.88,5.76,4.86,0.60,7.78,4.69,6.74,2.80,,
June,3.65,2.43,4.94,1.86,2.79,8.46,3.21,11.01,1.67,5.21,,
July,2.95,0.39,3.69,4.78,5.52,2.98,2.32,5.39,8.31,6.21,,
August,6.32,7.41,4.17,13.22,6.37,10.31,6.80,8.99,10.27,2.99,,
September,3.60,5.78,2.77,8.65,5.29,4.55,2.75,2.22,5.44,7.70,,
October,9.92,5.19,7.83,20.07,5.38,4.38,13.24,10.73,3.77,18.07,,
November,6.29,4.32,7.81,5.35,5.79,6.93,7.85,6.04,5.58,4.20,,
December,17.65,13.71,9.45,8.85,8.37,3.28,4.91,12.43,8.74,16.99,,
Total,71.98,60.40,62.58,108.30,77.85,67.76,79.71,81.71,75.92,84.16,,
Calc annual,71.98,60.40,62.58,108.30,77.85,67.76,79.71,81.71,75.92,84.16,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
