"GLENFARG U F MANSE",,,,,,,,,,,,
Grid ref,NO134106,Long,-3.400268,Lat,56.279933,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,7.50,3.00,1.50,5.16,,4.10,,,
February,,,,6.80,3.95,1.12,2.24,-999.00,2.25,,,
March,,,,6.66,2.60,3.95,2.20,3.00,,,,
April,,,,1.02,3.45,1.90,0.62,,,,,
May,,,,1.80,,1.84,5.85,,2.23,,,
June,,,,2.90,,0.63,1.55,4.90,1.80,,,
July,,,,,,,,,,,,
August,,,,,,,-999.00,,,,,
September,,,,,,,1.30,1.34,,,,
October,,,1.86,8.10,,2.70,5.10,6.10,1.99,,,
November,,,3.56,1.60,,6.40,4.46,2.95,3.90,,,
December,,,6.00,3.15,3.10,2.73,2.15,5.40,,,,
Total,,,,51.83,34.07,,36.90,39.37,,,,
Calc annual,0.00,0.00,11.42,39.53,16.10,22.77,30.63,23.69,16.27,0.00,,
Difference,NaN,NaN,NaN,12.30,17.97,NaN,6.27,15.68,NaN,NaN,,
