"RATHMULLAN",,,,,,,,,,,,
Grid ref,IC2987827547,Long,-7.532741,Lat,55.094505,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,3.98,7.33,3.67,,,,
February,,,,,,4.47,4.29,4.19,,,,
March,,,,,,4.15,4.38,5.76,,,,
April,,,,,,3.54,3.49,3.15,,,,
May,,,,,,1.74,3.14,4.23,,,,
June,,,,,,2.24,1.58,5.23,,,,
July,,,,,,2.26,2.04,3.40,,,,
August,,,,,,3.94,5.43,5.17,,,,
September,,,,,,2.18,1.17,1.54,,,,
October,,,,,,3.38,3.62,3.47,,,,
November,,,,,,4.80,3.95,3.34,,,,
December,,,,,,3.13,6.21,5.05,,,,
Total,,,,,42.80,39.81,46.63,48.20,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,39.81,46.63,48.20,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,42.80,0.00,0.00,0.00,NaN,NaN,,
