"DONALD'S CLEUCH HEAD EDINBURGH W.W. NO 11",,,,,,,,,,,,
Grid ref,NT153160,Long,-3.340015,Lat,55.430543,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,5.54,8.33,,
February,,,,,,,,,3.92,2.83,,
March,,,,,,,,,7.07,6.33,,
April,,,,,,,,,1.94,4.99,,
May,,,,,,,,,4.23,4.47,,
June,,,,,,,,,6.35,2.85,,
July,,,,,,,,,6.20,6.80,,
August,,,,,,,,,7.75,3.90,,
September,,,,,,,,,11.40,3.59,,
October,,,,,,,,,3.65,14.70,,
November,,,,,,,,,5.47,3.20,,
December,,,,,,,,,5.65,8.90,,
Total,,,,,,,,,69.17,70.89,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.17,70.89,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
