"BALLYMAHON NEWCASTLE",,,,,,,,,,,,
Grid ref,IN1849756963,Long,-7.721565,Lat,53.562457,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.18,1.47,4.52,1.20,2.92,2.72,,
February,,,,,4.67,1.52,2.36,2.53,2.12,1.20,,
March,,,,,2.72,4.02,2.18,3.19,3.37,2.76,,
April,,,,,2.27,1.78,1.43,2.28,1.75,4.19,,
May,,,,,1.57,1.75,3.32,3.38,3.42,1.61,,
June,,,,,1.43,1.97,2.30,4.67,1.53,2.55,,
July,,,,,4.34,1.33,3.49,2.74,1.61,3.17,,
August,,,,,5.87,6.00,4.30,2.77,2.89,1.40,,
September,,,,,3.01,1.19,1.32,1.34,4.58,2.54,,
October,,,,,2.50,1.35,4.94,4.23,1.44,5.04,,
November,,,,,2.41,3.35,1.56,2.22,2.64,2.17,,
December,,,,,2.36,1.84,3.05,3.41,3.59,4.26,,
Total,,,,,36.33,27.57,34.77,33.96,31.86,33.61,,
Calc annual,0.00,0.00,0.00,0.00,36.33,27.57,34.77,33.96,31.86,33.61,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,,
