"EAST BERGHOLT (ACKWORTH HO.)",,,,,,,,,,,,
Grid ref,TM065350,Long,1.005152,Lat,51.975083,,,,,,,
Station no,1332,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,-999.00,,1.90,2.24,0.74,2.21,1.04,1.04,0.71,,
February,,-999.00,,0.34,2.33,0.89,1.96,0.89,1.61,1.22,,
March,,-999.00,1.27,1.42,1.96,1.76,1.31,1.13,1.55,2.39,,
April,,-999.00,0.89,2.07,0.90,1.83,0.84,2.80,2.27,1.70,,
May,,-999.00,3.09,3.99,1.80,1.28,1.23,2.09,1.53,1.06,,
June,,-999.00,3.23,3.91,1.04,3.15,2.39,2.02,0.86,3.87,,
July,,-999.00,1.40,4.73,1.75,0.19,0.58,1.78,3.88,3.40,,
August,,-999.00,2.91,3.43,1.30,2.00,0.44,2.48,1.85,2.29,,
September,,-999.00,1.13,2.52,1.05,1.21,1.26,0.61,0.88,2.27,,
October,,-999.00,1.52,4.29,0.81,1.32,3.52,3.12,1.40,3.96,,
November,,-999.00,1.82,2.00,1.21,1.99,3.25,1.72,0.92,1.15,,
December,,-999.00,1.32,1.22,1.64,0.79,1.70,2.63,1.57,3.55,,
Total,,-999.00,,31.82,18.03,17.15,20.69,22.31,19.36,27.57,,
Calc annual,0.00,0.00,18.58,31.82,18.03,17.15,20.69,22.31,19.36,27.57,,
Difference,NaN,-999.00,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
