"SWAFFHAM",,,,,,,,,,,,
Grid ref,TF818089,Long,0.685872,Lat,52.647363,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.00,0.67,1.02,1.74,1.80,1.03,3.65,1.10,0.94,0.75,,
February,3.83,1.19,1.13,0.44,3.15,1.04,2.35,1.32,1.78,0.28,,
March,0.95,1.70,1.59,2.30,1.49,2.65,1.74,1.19,2.16,2.95,,
April,1.24,2.26,1.06,1.92,1.12,1.91,0.72,3.03,2.71,1.20,,
May,1.66,1.00,3.62,2.14,1.76,1.42,0.83,2.44,1.62,1.22,,
June,2.50,1.10,2.89,2.37,0.67,2.81,2.82,2.27,1.14,3.56,,
July,2.18,0.92,2.70,2.67,2.91,0.66,0.67,1.74,3.38,3.47,,
August,4.55,1.51,2.17,3.32,3.38,2.84,2.10,1.98,2.23,2.32,,
September,0.67,1.21,1.04,4.23,2.24,2.83,1.31,0.57,1.77,1.62,,
October,2.39,2.65,1.86,6.19,1.14,3.02,4.58,3.07,1.14,3.89,,
November,2.73,1.93,1.30,1.63,1.60,2.31,3.44,2.58,1.24,0.88,,
December,2.94,3.94,1.42,1.14,1.48,0.92,2.21,2.53,1.35,4.52,,
Total,29.64,20.08,21.80,30.09,22.74,23.44,26.42,23.82,21.46,26.66,,
Calc annual,29.64,20.08,21.80,30.09,22.74,23.44,26.42,23.82,21.46,26.66,,
Difference,-0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
