"EAST GRINSTEAD HALSFORD PARK",,,,,,,,,,,,
Grid ref,TQ3808838992,Long,-0.027765,Lat,51.133561,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.79,1.51,1.21,2.83,,,,,,,,
February,5.86,2.41,1.71,1.99,,,,,,,,
March,1.13,2.86,2.37,3.98,,,,,,,,
April,1.44,2.42,1.23,2.35,,,,,,,,
May,1.12,1.06,2.95,2.21,,,,,,,,
June,3.42,1.62,4.16,4.58,,,,,,,,
July,1.11,2.95,1.91,6.04,,,,,,,,
August,3.52,1.67,3.84,4.70,,,,,,,,
September,1.78,1.87,1.51,3.51,,,,,,,,
October,2.63,3.51,3.18,8.54,,,,,,,,
November,4.27,0.97,3.40,2.97,,,,,,,,
December,4.89,6.16,2.22,3.09,,,,,,,,
Total,34.96,29.01,29.69,46.79,,,,,,,,
Calc annual,34.96,29.01,29.69,46.79,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
