"KINLOCHQUOICH",,,,,,,,,,,,
Grid ref,NG961006,Long,-5.363434,Lat,57.051220,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,16.72,,
February,,,,,,,,,,10.68,,
March,,,,,,,,,,1.07,,
April,,,,,,,,,,5.05,,
May,,,,,,,,,,7.60,,
June,,,,,,,,,,1.36,,
July,,,,,,,,,,11.53,,
August,,,,,,,,,,10.54,,
September,,,,,,,,,,5.40,,
October,,,,,,,,,,17.62,,
November,,,,,,,,,12.67,13.58,,
December,,,,,,,,,,11.33,,
Total,,,,,,,,,,112.48,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.67,112.48,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
