"BURNHOPE, GRASSMERES",,,,,,,,,,,,
Grid ref,NY825372,Long,-2.273260,Lat,54.729476,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,3.77,,,,,,,,,,
February,,1.75,,,,,,,,,,
March,,4.13,,,,,,,,,,
April,,3.00,,,,,,,,,,
May,,1.27,,,,,,,,,,
June,,3.30,,,,,,,,,,
July,,1.95,,,,,,,,,,
August,,3.98,,,,,,,,,,
September,,3.45,,,,,,,,,,
October,,4.45,,,,,,,,,,
November,6.23,8.57,,,,,,,,,,
December,9.90,4.88,,,,,,,,,,
Total,,44.50,49.75,,51.40,48.75,59.30,60.05,58.20,55.25,,
Calc annual,16.13,44.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,49.75,NaN,51.40,48.75,59.30,60.05,58.20,55.25,,
