"DUGORT, SLIEVEMORE HOTEL",,,,,,,,,,,,
Grid ref,IF6758208537,Long,-10.020840,Lat,54.009206,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,8.13,8.54,,
February,,,,,,,,,5.19,4.46,,
March,,,,,,,,,7.28,3.87,,
April,,,,,,,,,4.59,5.06,,
May,,,,,,,,,4.07,3.94,,
June,,,,,,,,,4.91,2.06,,
July,,,,,,,,,5.66,5.49,,
August,,,,,,,,,4.65,5.29,,
September,,,,,,,,,10.50,3.98,,
October,,,,,,,,,2.97,8.68,,
November,,,,,,,,,5.93,4.42,,
December,,,,,,,,,10.30,7.09,,
Total,,,,,,,,,74.18,62.88,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.18,62.88,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
