"RICH HILL FRUITFIELD",,,,,,,,,,,,
Grid ref,IH9422549000,Long,-6.550397,Lat,54.381040,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.23,3.44,,,,,,,,,,
February,2.84,0.74,,,,,,,,,,
March,0.65,3.04,,,,,,,,,,
April,1.91,2.46,,,,,,,,,,
May,2.20,1.61,,,,,,,,,,
June,2.75,1.66,,,,,,,,,,
July,3.13,0.43,,,,,,,,,,
August,4.63,3.49,,,,,,,,,,
September,1.23,,,,,,,,,,,
October,4.01,4.66,,,,,,,,,,
November,5.57,3.24,,,,,,,,,,
December,3.26,2.53,,,,,,,,,,
Total,34.41,27.30,,,,,,,,,,
Calc annual,34.41,27.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
