"BALLYCUMBER, MOOROCK LODGE",,,,,,,,,,,,
Grid ref,IN1936532393,Long,-7.709972,Lat,53.341639,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,1.48,,
June,,,,,,,,,,1.55,,
July,,,,,,,,,,1.94,,
August,,,,,,,,,,0.96,,
September,,,,,,,,,,2.30,,
October,,,,,,,,,,3.94,,
November,,,,,,,,,,2.22,,
December,,,,,,,,,,3.56,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.95,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
