"MARKET DRAYTON OLD SPRINGS",,,,,,,,,,,,
Grid ref,SJ701323,Long,-2.445811,Lat,52.887318,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.07,1.87,1.24,1.98,2.70,0.75,4.35,1.53,1.45,1.70,,
February,3.73,1.63,1.40,1.37,3.63,0.61,2.27,1.38,1.70,0.71,,
March,1.36,2.48,1.83,3.96,1.92,3.70,2.00,1.35,2.80,2.49,,
April,1.17,2.43,2.10,1.76,1.23,1.67,1.58,2.06,2.55,2.33,,
May,1.74,1.46,2.93,2.15,2.05,0.78,2.27,3.13,2.34,0.95,,
June,2.93,2.39,2.06,1.46,0.85,4.11,1.34,4.13,2.33,2.99,,
July,2.88,3.59,1.78,3.00,2.24,1.72,0.71,3.75,2.91,4.29,,
August,5.22,3.17,3.39,4.10,4.46,6.03,2.08,2.81,4.09,2.76,,
September,1.08,1.38,1.15,4.41,1.80,1.37,1.68,0.84,3.01,2.59,,
October,3.84,3.00,3.44,6.57,0.75,1.70,5.63,4.45,2.20,4.44,,
November,2.71,2.34,1.88,2.85,1.56,3.03,2.91,2.46,2.01,0.90,,
December,4.17,3.59,2.21,1.72,1.77,0.45,2.92,2.19,2.48,4.01,,
Total,33.90,29.33,25.41,35.33,24.96,25.92,29.74,30.08,29.87,30.16,,
Calc annual,33.90,29.33,25.41,35.33,24.96,25.92,29.74,30.08,29.87,30.16,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
