"BLAENAVON",,,,,,,,,,,,
Grid ref,SO254088,Long,-3.082585,Lat,51.772880,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.57,,2.46,,
February,,,,,,,,1.73,,0.63,,
March,,,,,,,,2.26,,7.07,,
April,,,,,,,,5.97,,4.35,,
May,,,,,,,,3.41,,1.94,,
June,,,,,,,,5.07,,3.79,,
July,,,,,,,,3.01,,2.82,,
August,,,,,,,,3.14,,2.01,,
September,,,,,,,,0.82,,3.40,,
October,,,,,,,,11.48,,10.71,,
November,,,,,,,,4.03,,2.03,,
December,,,,,,,,8.54,,10.79,,
Total,,,,,,,,52.03,,52.00,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.03,0.00,52.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,0.00,,
