"LOCH NESS WHITEBRIDGE KILLIN",,,,,,,,,,,,
Grid ref,NH525089,Long,-4.439569,Lat,57.147220,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.70,2.30,5.30,5.00,5.90,4.60,4.30,2.70,3.60,3.60,,
February,1.60,2.20,1.10,10.80,2.40,4.60,2.70,4.30,5.40,2.60,,
March,1.20,2.30,4.00,9.40,1.90,6.40,4.60,6.00,7.40,2.20,,
April,3.10,3.60,2.50,2.00,7.10,2.40,2.10,3.60,2.50,2.60,,
May,3.00,1.60,3.10,2.80,3.40,3.40,4.60,2.70,2.60,3.60,,
June,2.30,2.00,2.20,2.90,2.70,2.00,1.60,4.70,2.60,1.00,,
July,3.20,3.10,2.60,4.70,1.40,3.60,3.60,1.60,1.60,3.70,,
August,2.80,2.90,4.20,4.20,4.10,4.20,2.60,4.60,2.40,2.60,,
September,4.00,3.60,3.60,5.40,3.60,3.30,2.70,2.40,4.20,3.30,,
October,4.20,3.60,3.60,8.50,2.00,3.60,4.60,3.60,1.50,4.60,,
November,3.90,3.90,1.90,6.70,2.00,4.60,4.80,3.60,0.64,4.00,,
December,9.30,3.20,5.30,2.00,3.30,5.00,3.60,4.60,4.40,4.30,,
Total,43.30,34.30,39.40,64.40,39.80,47.70,41.80,44.40,38.84,38.10,,
Calc annual,43.30,34.30,39.40,64.40,39.80,47.70,41.80,44.40,38.84,38.10,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
