"MANCHESTER SACKVILLE STREET",,,,,,,,,,,,
Grid ref,SJ845975,Long,-2.234990,Lat,53.473999,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.60,4.41,1.27,2.24,1.85,,
February,,,,,,1.38,3.04,1.18,1.40,1.16,,
March,,,,,,2.80,2.71,2.34,1.48,2.50,,
April,,,,,,2.11,1.43,0.94,2.11,2.08,,
May,,,,,,0.58,2.75,2.82,2.12,1.52,,
June,,,,,,2.00,1.42,4.79,1.63,1.84,,
July,,,,,,2.22,1.66,3.15,3.61,3.94,,
August,,,,,,4.16,2.81,2.92,3.02,1.70,,
September,,,,,,2.19,1.47,0.90,2.75,0.85,,
October,,,,,,2.77,3.82,2.96,1.11,,,
November,,,,,,2.49,2.22,2.10,2.59,0.85,,
December,,,,,,0.50,3.55,2.74,2.36,,,
Total,,,,,,24.80,31.29,28.11,26.42,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,24.80,31.29,28.11,26.42,18.29,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,NaN,,
