"ROUSDON (LYME REGIS)",,,,,,,,,,,,
Grid ref,SY297907,Long,-2.997045,Lat,50.711664,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.03,3.22,0.98,3.39,4.42,1.18,6.39,1.13,1.04,1.36,,
February,4.92,1.27,1.82,1.61,4.93,0.64,3.73,1.67,2.13,0.27,,
March,1.50,2.60,2.18,3.62,1.89,4.82,1.59,0.71,3.04,5.40,,
April,1.82,3.33,1.82,3.22,1.14,2.55,0.89,4.11,2.87,1.98,,
May,1.83,1.47,1.96,2.42,3.35,0.49,3.12,2.38,1.70,1.16,,
June,3.41,2.15,3.22,1.98,0.99,1.85,1.26,2.11,0.54,4.53,,
July,0.99,2.77,2.18,2.90,5.84,0.50,1.33,1.65,1.49,3.30,,
August,1.97,1.69,3.51,4.28,3.70,2.96,0.94,1.48,4.17,2.67,,
September,0.69,3.73,2.19,4.48,2.10,1.68,1.26,0.88,3.03,2.37,,
October,2.45,2.87,3.58,6.13,2.21,2.46,5.10,7.62,5.16,5.51,,
November,3.48,0.67,4.18,1.53,1.76,5.42,3.14,2.90,1.07,0.94,,
December,5.68,6.41,2.13,3.76,3.42,1.04,2.14,4.80,3.80,5.56,,
Total,33.77,32.18,29.75,39.32,35.75,25.59,30.89,31.44,30.04,35.05,,
Calc annual,33.77,32.18,29.75,39.32,35.75,25.59,30.89,31.44,30.04,35.05,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,,
