"BUNTINGFORD HILLSIDE",,,,,,,,,,,,
Grid ref,TL364284,Long,-0.017264,Lat,51.937396,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.39,2.05,0.76,,0.89,,,,
February,,,,0.81,2.89,0.76,,1.40,,,,
March,,,,2.04,1.07,2.46,,1.02,,,,
April,,,,1.10,0.79,1.63,,3.00,,,,
May,,,,3.95,1.36,1.34,,2.72,,,,
June,,,,5.69,0.89,2.36,,1.62,,,,
July,,,,5.00,3.07,1.36,,,,,,
August,,,,3.58,2.62,3.01,,,,,,
September,,,,2.01,1.06,1.57,,,,,,
October,,,,6.50,0.97,1.15,,,,,,
November,,,,2.44,1.28,2.13,,,,,,
December,,,,1.77,1.67,0.78,,,,,,
Total,,,,37.28,19.72,19.31,,,,,,
Calc annual,0.00,0.00,0.00,37.28,19.72,19.31,0.00,10.65,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,,
