"SCRUTON HALL",,,,,,,,,,,,
Grid ref,SE301920,Long,-1.538734,Lat,54.322697,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.32,2.00,0.46,2.79,0.45,1.50,0.69,,
February,,,,1.49,1.83,0.99,1.22,1.23,0.76,0.97,,
March,,,,2.33,1.52,1.46,0.84,1.18,3.11,3.35,,
April,,,,1.00,1.31,2.47,0.51,1.45,2.75,2.47,,
May,,,,4.49,3.30,0.95,3.53,3.74,1.63,1.72,,
June,,,,1.68,1.00,1.28,1.08,3.38,0.69,2.45,,
July,,,,3.16,1.67,0.86,2.12,1.78,3.35,2.88,,
August,,,,2.62,2.92,2.78,2.58,1.82,1.75,3.06,,
September,,,,2.32,1.36,1.67,0.33,0.51,2.60,2.10,,
October,,,,7.62,0.68,1.38,4.71,4.10,1.63,2.06,,
November,,,,1.16,1.39,3.64,2.59,2.18,1.13,0.88,,
December,,,,1.61,1.80,0.46,1.78,2.69,0.96,3.58,,
Total,,,,31.80,20.78,18.40,24.08,24.51,21.86,26.21,,
Calc annual,0.00,0.00,0.00,31.80,20.78,18.40,24.08,24.51,21.86,26.21,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
