"ROYSTON THERFIELD RECTORY",,,,,,,,,,,,
Grid ref,TL3354636980,Long,-0.055418,Lat,52.015184,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.74,0.75,0.46,2.38,2.11,1.19,2.93,0.91,1.07,0.83,,
February,4.28,1.11,0.96,0.56,2.99,1.25,1.77,1.31,1.07,0.38,,
March,0.78,2.66,1.15,2.88,1.64,2.32,1.87,0.87,2.44,3.23,,
April,0.91,2.42,0.72,1.44,0.93,2.13,1.10,3.08,2.95,1.45,,
May,1.37,1.12,2.32,3.92,1.70,1.17,1.24,3.02,1.43,1.60,,
June,3.08,1.52,2.92,6.02,1.04,3.58,3.47,1.56,2.17,4.28,,
July,1.15,2.68,1.32,5.14,3.00,0.89,0.83,2.24,3.69,3.46,,
August,3.39,1.56,4.19,3.33,2.50,2.90,1.09,2.52,2.33,2.47,,
September,0.43,1.25,1.03,1.94,1.26,2.16,1.63,0.64,1.37,2.35,,
October,2.02,1.51,1.33,5.21,1.32,1.35,3.75,2.33,0.97,4.36,,
November,2.09,1.05,1.39,2.33,1.36,2.26,4.63,2.46,0.78,0.89,,
December,2.32,2.93,1.25,1.63,1.86,0.99,2.38,3.48,1.79,3.06,,
Total,24.56,20.56,19.04,36.78,21.71,22.19,26.69,24.42,22.06,28.36,,
Calc annual,24.56,20.56,19.04,36.78,21.71,22.19,26.69,24.42,22.06,28.36,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
