"SUTTON BONNINGTON",,,,,,,,,,,,
Grid ref,SK507251,Long,-1.249093,Lat,52.821058,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.81,,,
February,,,,,,,,,1.06,,,
March,,,,,,,,,2.50,,,
April,,,,,,,,,2.35,,,
May,,,,,,,,,1.88,,,
June,,,,,,,,,1.48,,,
July,,,,,,,,2.40,2.43,,,
August,,,,,,,,2.28,3.04,,,
September,,,,,,,,0.72,1.90,,,
October,,,,,,,,4.53,0.94,,,
November,,,,,,,,2.04,1.40,,,
December,,,,,,,,2.50,1.27,,,
Total,,,,,,,,,21.06,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.47,21.06,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,,
