"BOWDON ERLESDENE NO.1",,,,,,,,,,,,
Grid ref,SJ756869,Long,-2.368249,Lat,53.378384,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.99,1.87,,,,,,,,,,
February,2.94,1.32,,,,,,,,,,
March,0.79,1.78,,,,,,,,,,
April,1.29,2.01,,,,,,,,,,
May,1.84,0.75,,,,,,,,,,
June,2.95,1.97,,,,,,,,,,
July,2.05,4.68,,,,,,,,,,
August,4.82,2.01,,,,,,,,,,
September,0.91,0.79,,,,,,,,,,
October,3.69,2.74,,,,,,,,,,
November,1.73,3.19,,,,,,,,,,
December,3.63,3.53,,,,,,,,,,
Total,29.63,26.64,,,,,,,,,,
Calc annual,29.63,26.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
