"BECCLES SOTTERLEY HALL",,,,,,,,,,,,
Grid ref,TM461852,Long,1.617000,Lat,52.409404,,,,,,,
Station no,1373,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,0.44,0.96,1.72,2.20,0.95,4.08,1.67,0.65,0.79,,
February,,1.62,0.57,0.41,2.52,1.31,2.44,1.33,2.09,0.87,,
March,,2.08,1.50,1.71,1.67,2.01,1.76,1.13,2.29,3.01,,
April,,2.22,1.57,2.37,0.90,2.30,0.69,2.92,2.66,1.47,,
May,,0.93,3.51,2.17,2.52,1.00,2.12,2.70,1.25,1.32,,
June,,2.28,1.85,2.90,0.70,3.85,1.67,2.19,0.83,4.50,,
July,,0.93,2.05,3.82,2.95,0.50,0.26,1.12,2.41,2.34,,
August,,1.21,3.19,3.73,2.62,3.87,0.66,1.30,1.99,2.02,,
September,,0.95,1.46,3.07,2.14,1.74,2.28,0.39,1.19,2.91,,
October,,1.95,1.63,3.96,0.92,4.17,3.19,4.16,1.50,4.95,,
November,,1.69,1.60,1.90,1.90,2.08,4.17,2.49,1.47,0.98,,
December,,4.38,1.55,1.29,2.38,1.30,3.06,3.07,1.36,4.90,,
Total,,20.68,21.44,29.05,23.42,25.08,26.38,24.47,19.69,30.06,,
Calc annual,0.00,20.68,21.44,29.05,23.42,25.08,26.38,24.47,19.69,30.06,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
