"CORK ST ANNE'S HILL",,,,,,,,,,,,
Grid ref,IW5885075577,Long,-8.599028,Lat,51.931139,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.53,5.00,1.45,4.71,,,,,,,,
February,3.27,1.00,3.89,1.92,,,,,,,,
March,0.36,4.70,2.07,3.77,,,,,,,,
April,1.33,2.42,1.95,1.27,,,,,,,,
May,1.01,1.88,2.10,2.35,,,,,,,,
June,3.10,1.07,2.66,2.07,,,,,,,,
July,1.69,0.94,1.60,3.27,,,,,,,,
August,2.59,1.55,2.43,3.41,,,,,,,,
September,1.10,7.02,1.43,1.90,,,,,,,,
October,4.93,2.14,1.06,4.18,,,,,,,,
November,4.70,1.04,4.77,1.14,,,,,,,,
December,5.67,5.33,2.05,2.24,,,,,,,,
Total,33.28,34.09,27.46,,,,,,,,,
Calc annual,33.28,34.09,27.46,32.23,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
