"REIGATE HARTSWOOD",,,,,,,,,,,,
Grid ref,TQ249476,Long,-0.213162,Lat,51.213952,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.76,1.30,0.93,2.49,4.98,1.15,5.55,1.18,1.78,1.34,,
February,4.84,1.55,1.13,1.88,3.18,0.73,2.59,1.48,1.21,0.45,,
March,0.86,2.63,1.82,2.74,1.89,3.60,1.52,0.95,2.81,3.43,,
April,0.77,2.13,0.85,1.85,1.41,1.37,0.52,3.83,2.34,1.65,,
May,1.17,1.02,2.50,2.40,2.47,0.60,1.35,2.10,2.28,1.56,,
June,2.65,1.56,4.37,4.53,1.31,4.59,2.11,1.53,2.28,2.66,,
July,1.07,1.59,1.67,3.45,0.83,0.58,0.48,1.70,3.04,3.67,,
August,1.92,1.83,3.11,3.56,1.60,2.28,1.16,2.77,4.27,2.97,,
September,0.87,1.75,0.66,2.76,1.53,2.41,1.40,0.45,1.41,2.67,,
October,2.11,2.70,2.26,7.50,2.06,1.31,4.36,3.90,2.12,5.14,,
November,2.91,0.69,2.27,2.39,1.40,4.38,4.92,2.68,1.04,0.80,,
December,3.04,4.78,1.19,2.15,3.08,0.55,2.29,3.50,3.32,4.09,,
Total,25.97,23.53,22.76,37.70,25.74,23.55,28.25,26.07,27.90,30.43,,
Calc annual,25.97,23.53,22.76,37.70,25.74,23.55,28.25,26.07,27.90,30.43,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
