"ARDGOUR HOUSE",,,,,,,,,,,,
Grid ref,,Long,NaN,Lat,NaN,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,9.52,14.13,13.81,,
February,,,,,,,,10.31,10.06,5.65,,
March,,,,,,,,9.52,7.31,0.69,,
April,,,,,,,,4.39,3.29,4.53,,
May,,,,,,,,5.44,5.35,5.74,,
June,,,,,,,,8.06,6.42,1.47,,
July,,,,,,,,4.14,6.12,8.87,,
August,,,,,,,,14.52,7.68,8.34,,
September,,,,,,,,4.18,13.53,4.11,,
October,,,,,,,,4.41,2.65,14.22,,
November,,,,,,,,8.51,8.95,9.78,,
December,,,,,,,,9.82,14.50,10.71,,
Total,,,,,,,,92.82,99.99,87.92,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.82,99.99,87.92,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
