"KIRKPATRICK DURHAM GLENLAIN",,,,,,,,,,,,
Grid ref,NX787702,Long,-3.898384,Lat,55.011521,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.83,4.43,2.90,7.13,4.93,2.95,5.80,2.72,5.93,4.99,,
February,4.41,1.52,3.18,5.72,4.10,3.66,3.77,3.89,4.44,2.37,,
March,0.46,2.03,2.70,10.47,3.68,5.93,3.34,5.03,6.25,6.78,,
April,2.43,3.82,2.25,2.02,4.33,4.18,1.10,3.45,2.07,4.36,,
May,4.33,2.16,2.83,2.87,2.78,2.53,8.02,4.96,3.25,3.09,,
June,5.54,3.41,1.61,3.09,2.33,2.51,1.56,6.45,3.89,4.62,,
July,3.57,1.38,2.65,5.01,3.60,1.73,3.17,3.04,4.03,5.97,,
August,7.55,4.50,3.65,6.42,6.29,4.61,6.65,5.61,4.97,2.53,,
September,3.04,4.62,3.57,5.37,3.49,2.32,1.23,1.08,5.50,2.89,,
October,5.93,5.57,3.14,10.66,2.60,3.54,8.81,9.12,2.42,11.25,,
November,5.41,3.89,5.15,4.40,4.23,6.67,4.56,4.01,3.91,1.69,,
December,9.13,6.29,6.26,4.92,4.77,4.01,4.83,7.08,6.51,7.20,,
Total,57.63,43.62,39.89,68.08,47.13,44.64,52.84,56.44,53.17,57.74,,
Calc annual,57.63,43.62,39.89,68.08,47.13,44.64,52.84,56.44,53.17,57.74,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
